# (c) Martin Lellep 2021; This sample data file belongs to my project "Cycling in Marburg" (http://lellep.xyz/blog/cycling-in-marburg-1-intro.html)
timestamp,Aquamar,Biegenstraße/Cineplex,Elisabeth-Blochmann-Platz,Stadtbüro,Wehrda Bürgerhaus
2020-06-06 00:00:27.442048,4,7,3,1,3
2020-06-06 00:01:03.586134,4,7,3,1,3
2020-06-06 00:01:39.750738,4,7,3,1,3
2020-06-06 00:02:15.603639,4,7,3,1,3
2020-06-06 00:02:51.467572,4,7,3,1,3
2020-06-06 00:03:27.257508,4,6,3,1,3
2020-06-06 00:04:03.122597,4,6,3,1,3
2020-06-06 00:04:39.335157,4,6,3,1,3
2020-06-06 00:05:15.419060,4,6,3,1,3
2020-06-06 00:05:51.170619,4,6,3,1,3
2020-06-06 00:06:26.924581,4,6,3,1,3
2020-06-06 00:07:02.789992,4,6,3,1,3
2020-06-06 00:07:38.610354,4,6,3,1,3
2020-06-06 00:08:14.334625,4,6,3,1,3
2020-06-06 00:08:50.065860,4,6,3,1,3
2020-06-06 00:09:25.789924,4,6,3,1,3
2020-06-06 00:10:01.547807,4,6,3,1,3
2020-06-06 00:10:37.271423,4,6,3,1,3
2020-06-06 00:11:12.978426,4,6,3,1,3
2020-06-06 00:11:48.709504,4,6,3,1,3
2020-06-06 00:12:24.417047,4,6,3,1,3
2020-06-06 00:13:00.120157,4,6,3,1,3
2020-06-06 00:13:35.822125,4,6,3,1,3
2020-06-06 00:14:11.461686,4,6,3,1,3
2020-06-06 00:14:47.091035,4,6,3,1,3
2020-06-06 00:15:22.726241,4,6,3,1,3
2020-06-06 00:15:58.312594,4,6,3,1,3
2020-06-06 00:16:33.877396,4,6,3,1,3
2020-06-06 00:17:14.650369,4,6,3,1,3
2020-06-06 00:17:55.445484,4,6,3,1,3
2020-06-06 00:18:31.141203,4,6,3,1,3
2020-06-06 00:19:07.429475,4,6,3,1,3
2020-06-06 00:19:43.709315,4,6,3,1,3
2020-06-06 00:20:19.431162,4,6,3,1,3
2020-06-06 00:20:55.146124,4,6,3,1,3
2020-06-06 00:21:30.845342,4,6,3,1,3
2020-06-06 00:22:06.712892,4,6,3,1,3
2020-06-06 00:22:42.644041,4,6,3,1,3
2020-06-06 00:23:18.362471,4,6,3,1,3
2020-06-06 00:23:53.992970,4,6,3,1,3
2020-06-06 00:24:29.701927,4,6,3,1,3
2020-06-06 00:25:05.969920,4,6,3,1,3
2020-06-06 00:25:42.195502,4,6,3,1,3
2020-06-06 00:26:18.083999,4,6,3,1,3
2020-06-06 00:26:53.880380,4,6,3,1,3
2020-06-06 00:27:29.650757,4,6,3,1,3
